Circuito,Longitud_km,Vueltas,Degradacion_Base,Pit_Loss_s,Prob_Lluvia
Bahrain,5.412,57,0.15,23,0.05
Monaco,3.337,78,0.05,25,0.2
Silverstone,5.891,52,0.18,23,0.4
Spa,7.004,44,0.14,22,0.6
Monza,5.793,53,0.1,24,0.15
Interlagos,4.309,71,0.12,21,0.5
Jeddah,6.174,50,0.09,20,0.02
Melbourne,5.278,58,0.11,21,0.25
Suzuka,5.807,53,0.17,22,0.45
Miami,5.412,57,0.13,24,0.3
Barcelona,4.657,66,0.19,22,0.15
Montreal,4.361,70,0.1,20,0.55
Hungaroring,4.381,70,0.16,21,0.2
Zandvoort,4.259,72,0.14,20,0.4
Baku,6.003,51,0.08,24,0.05
Austin,5.513,56,0.15,22,0.2
México,4.304,71,0.09,22,0.25
Las Vegas,6.201,50,0.07,26,0.05
Abu Dhabi,5.281,58,0.11,23,0.02
Shanghai,5.451,56,0.16,23,0.3
Austria,4.318,71,0.1,20,0.35
Singapore,4.94,62,0.13,28,0.4
Qatar,5.419,57,0.18,24,0.01
